Item,Category,Effect,Cost,Image
Prop Case,Key Item,A lovely case to store colorful Props for your Pokémon to wear in a musical.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/prop-case.png
Rage Candy Bar,Key Item,A famous Mahogany Town candy tourists like to buy and take home. It restores the HP of one Pokémon by 20 points.,300,https://cdn.bulbagarden.net/upload/3/38/Dream_Rage_Candy_Bar_Sprite.png
Rainbow Pass,Key Item,A pass for ferries between VERMILION and the SEVII ISLANDS. It features a drawing of a rainbow.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rainbow-pass.png
Rainbow Wing,Key Item,A mystical rainbow feather that sparkles.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rainbow-wing.png
Red Chain,Key Item,A mythical chain that is said to link the legendary Pokémon that created the Sinnoh region.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-chain.png
Red Orb,Key Item,A shiny red orb that is said to have a legend and has a deep connection with the Hoenn region.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-orb.png
Red Scale,Key Item,A scale from the red GYARADOS. It glows red like a flame.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-scale.png
Rich Mulch,Key Item,Mulch to be used in a Berry field. It increases the Berry harvest without the need for particularly diligent care.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rich-mulch.png
Rm. 1 Key,Key Item,A key that opens the door to Room 1 inside the ABANDONED SHIP. It is old and looks easily broken.,Cannot be purchased,https://cdn.bulbagarden.net/upload/0/0c/Bag_Storage_Key_III_Sprite.png
Rm. 2 Key,Key Item,A key that opens the door to Room 2 inside the ABANDONED SHIP. It is old and looks easily broken.,Cannot be purchased,https://cdn.bulbagarden.net/upload/0/0c/Bag_Storage_Key_III_Sprite.png
Rm. 4 Key,Key Item,A key that opens the door to Room 4 inside the ABANDONED SHIP. It is old and looks easily broken.,Cannot be purchased,https://cdn.bulbagarden.net/upload/0/0c/Bag_Storage_Key_III_Sprite.png
Rm. 6 Key,Key Item,A key that opens the door to Room 6 inside the ABANDONED SHIP. It is old and looks easily broken.,Cannot be purchased,https://cdn.bulbagarden.net/upload/0/0c/Bag_Storage_Key_III_Sprite.png
Ruby,Key Item,An exquisitely beautiful gem that has a red glow. It symbolizes passion.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ruby.png
Rule Book,Key Item,"It lists the rules for holding battles. For linked battles, you may choose which set of rules you wish to use.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rule-book.png
Sapphire,Key Item,An exquisitely beautiful gem that has a blue glow. It symbolizes honesty.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sapphire.png
Scanner,Key Item,A device used to search for life-forms in water. It looks too difficult to use.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/scanner.png
Seal Bag,Key Item,A tiny bag that can hold ten Seals for decorating Poké Balls.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/seal-bag.png
Seal Case,Key Item,A case for storing Seals that can be applied to the capsule cases of Poké Balls.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/seal-case.png
Secret Key,Key Item,A high-tech key that has to be used at a specific location. It emits a special electric signal to open a door.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/a/a0/RG_Secret_Key.png/120px-RG_Secret_Key.png
Secret Potion,Key Item,A fantastic medicine dispensed by the pharmacy in Cianwood City. It fully heals a Pokémon of any ailment.,Cannot be purchased,https://cdn.bulbagarden.net/upload/b/bf/Bag_SecretPotion_Sprite.png
Silph Scope,Key Item,A scope that makes unseeable Pokémon visible. It is made by SILPH CO.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/6/65/RG_Silph_Scope.png/120px-RG_Silph_Scope.png
Silver Wing,Key Item,"A strange, silvery feather that sparkles.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/silver-wing.png
Slowpoke Tail,Key Item,A very tasty tail of something. It sells for a high price.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/slowpoke-tail.png
Soot Sack,Key Item,A sack used to collect volcanic ash automatically during walks over deep ash.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/soot-sack.png
Sprayduck,Key Item,A watering can shaped like a PSYDUCK. It helps promote healthy growth of Berries planted in soft soil.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sprayduck.png
Squirt Bottle,Key Item,A bottle used for watering plants in the Berry Pots.,Cannot be purchased,https://vignette.wikia.nocookie.net/pokemon/images/7/76/Squirtbottle_%28key%29.png/revision/latest?cb=20110306173536
S.S. Ticket,Key Item,The ticket required for sailing on the ferry S.S. Aqua. It has a drawing of a ship on it.,Cannot be purchased,https://cdn.bulbagarden.net/upload/7/76/RG_SS_Ticket.png
Storage Key,Key Item,The key to Team Galactic's sinister warehouse located at the edge of Veilstone City.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/storage-key.png
Suite Key,Key Item,"A key to one of the suites at the luxury hotel by a lake. For some odd reason, it often disappears.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/suite-key.png
Super Rod,Key Item,"An awesome, high-tech fishing rod. Use it by any body of water to fish for wild aquatic Pokémon.",Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/c/ce/RG_Super_Rod.png/120px-RG_Super_Rod.png
Surprise Mulch,Key Item,"Mulch to be used in a Berry field. It causes strange, sudden mutations based on the combination of Berries.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/surprise-mulch.png
Tea,Key Item,An aromatic tea prepared by an old lady. It will slake even the worst thirst.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/tea.png
Teachy TV,Key Item,A television set that is tuned to a program with useful tips for novice TRAINERS.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/teachy-tv.png
Tidal Bell,Key Item,A very old-fashioned bell that makes a gentle ringing.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/tidal-bell.png
TM Case,Key Item,A case that holds TMs and HMs. It is attached to the BAG's compartment for important Items.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/tm-case.png
Town Map,Key Item,A very convenient map that can be viewed anytime. It even shows your present location.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/6/6c/RG_Town_Map.png/120px-RG_Town_Map.png
Tri Pass,Key Item,"A pass for ferries between ONE, TWO, and THREE ISLAND. It has a drawing of three islands.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/tri-pass.png
Unown Report,Key Item,A report of all the discovered kinds of UNOWN.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/unown-report.png
Vs. Recorder,Key Item,An amazing device that can record a battle either between friends or at a special battle facility.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/e/e9/Vs._Recorder_Pt.png/180px-Vs._Recorder_Pt.png
Vs. Seeker,Key Item,A device that indicates Trainers who want to battle. Its battery charges while you walk.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/9/93/VS_Seeker.png/100px-VS_Seeker.png
Wailmer Pail,Key Item,A nifty watering pail. Use it to promote strong growth in BERRIES planted in soft soil.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/wailmer-pail.png
Works Key,Key Item,A large key for operating the doors of the Valley Windworks in the canyon. It was held by a Team Galactic Grunt.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/works-key.png
Xtransceiver,Key Item,A high-tech transceiver with a camera function. It allows up to four-way calls.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/xtransceiver.png
Itemfinder,Key Item,A machine for searching items on the ground.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/0/0f/RG_Itemfinder.png/180px-RG_Itemfinder.png
Boulder Badge,Key Item,Awarded by defeating Gym Leader Brock in the Kanto Region. Increases the attack stat of all your pokemon. Can teach pokemon HM Flash.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/d/dd/Boulder_Badge.png/50px-Boulder_Badge.png
Cascade Badge,Key Item,Awarded by defeating Gym Leader Misty in the Kanto Region. Pokemon up to Lv. 30 will obey. Can teach pokemon HM Cut.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/9/9c/Cascade_Badge.png/50px-Cascade_Badge.png
Thunder Badge,Key Item,Awarded by defeating Gym Leader Lt. Surge in the Kanto Region. Increases the speed stat of all your pokemon. Can teach pokemon HM Fly.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/a/a6/Thunder_Badge.png/50px-Thunder_Badge.png
HM01,Machines,Teaches the move Cut.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hm-normal.png
HM02,Machines,Teaches the move Fly.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hm-normal.png
HM03,Machines,Teaches the move Surf.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hm-normal.png
HM04,Machines,Teaches the move Strength.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hm-normal.png
HM05,Machines,Teaches the move Flash/Defog/Whirlpool/Waterfall.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hm-normal.png
HM06,Machines,Teaches the move Whirlpool/Rock Smash/Dive.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hm-normal.png
HM07,Machines,Teaches the move Waterfall.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hm-normal.png
HM08,Machines,Teaches the move Dive/Rock Climb.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hm-normal.png
TM01,Machines,Teaches the move Mega Punch/DynamicPunch/Focus Punch/Hone Claws.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM02,Machines,Teaches the move Razor Wind/Headbutt/Dragon Claw.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM03,Machines,Teaches the move Swords Dance/Curse/Water Pulse/Psyshock.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM04,Machines,Teaches the move Whirlwind/Rollout/Calm Mind.,1500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM05,Machines,Teaches the move Mega Kick/Roar.,1000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM06,Machines,Teaches the move Toxic.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM07,Machines,Teaches the move Horn Drill/Zap Cannon/Hail.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM08,Machines,Teaches the move Body Slam/Rock Smash/Bulk Up.,1500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM09,Machines,Teaches the move Take Down/Psych Up/Bullet Seed/Venoshock.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM10,Machines,Teaches the move Double-Edge/Hidden Power.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM100,Machines,Teaches the move Confide.,Cannot be purchased,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM11,Machines,Teaches the move BubbleBeam/Sunny Day.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM12,Machines,Teaches the move Water Gun/Sweet Scent/Taunt.,1500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM13,Machines,Teaches the move Snore/Ice Beam.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM14,Machines,Teaches the move Blizzard.,5500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM15,Machines,Teaches the move Hyper Beam.,7500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM16,Machines,Teaches the move Pay Day/Icy Wind/Light Screen.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM17,Machines,Teaches the move Submission/Protect.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM18,Machines,Teaches the move Counter/Rain Dance.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM19,Machines,Teaches the move Seismic Toss/Giga Drain/Telekinesis/Roost.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM20,Machines,Teaches the move Rage/Endure/Safeguard.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM21,Machines,Teaches the move Mega Drain/Frustration.,1000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM22,Machines,Teaches the move SolarBeam.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM23,Machines,Teaches the move Dragon Rage/Iron Tail/Smack Down.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM24,Machines,Teaches the move Thunderbolt/DragonBreath.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM25,Machines,Teaches the move Thunder.,5500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM26,Machines,Teaches the move Earthquake.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM27,Machines,Teaches the move Fissure/Return.,1000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM28,Machines,Teaches the move Dig.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM29,Machines,Teaches the move Psychic.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM30,Machines,Teaches the move Teleport/Shadow Ball.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM31,Machines,Teaches the move Mimic/Mud-Slap/Brick Break.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM32,Machines,Teaches the move Double Team.,1000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM33,Machines,Teaches the move Ice Punch/Reflect.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM34,Machines,Teaches the move Bide/Swagger/Shock Wave/Sludge Wave.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM35,Machines,Teaches the move Metronome/Sleep Talk/Flamethrower.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM36,Machines,Teaches the move Selfdestruct/Sludge Bomb.,3000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM37,Machines,Teaches the move Egg Bomb/Sandstorm.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM38,Machines,Teaches the move Fire Blast.,5500,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
TM39,Machines,Teaches the move Swift/Rock Tomb.,2000,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwj-sNHSva_WAhVDLmMKHRO-CFwQjRwIBw&url=https%3A%2F%2Ftwitter.com%2FSunlight_Owl%2Fstatus%2F802365547690201088&psig=AFQjCNGr9j5_a0bbK3hw8vp4rEZ_IWzlvg&ust=1505849755058215
